katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
takajmfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Álvaro Negredo-Piotr Trochowski-Ivan Rakitić
tikijcfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Dani Iglesias-Rodrigo Moreno-Rodrigo De Paul-Víctor Casadesús-Marc Bartra-Weligton-Ezequiel Rescaldani
takajufc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Gerónimo Rulli-Vitorino Antunes-Sergi Roberto-Jonathan Zongo-Andreu Fontàs
tikijrfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Carlos Fernández Luna-Mikel Rico-Thomas Vermaelen-Gaël Kakuta-Manuel Lanzarote 
takakbfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Pedro,Andrés Iniesta-Xavi-Sergio Busquets-Guillermo-Fernando Tissone-Alejandro Arribas-Rodrigo Moreno-Pedro-Mauro
takakjfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Rafinha,Andrés Iniesta-Xavi-Sergio Busquets-Julián-Rafinha-Alejandro Pozuelo-Jesé Rodríguez-Gonzalo Castro
tikikefc,5,9,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Markel Susaeta-Raúl Rodríguez-Marc-André ter Stegen-Andoni Iraola-Adriano
takalefc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Andrés Iniesta,Andrés Iniesta-Xavi-Sergio Busquets-Diego Seoane-Luis Fariña-Alfreð Finnbogason-Andrés Iniesta
takaltfc,4,11,Andrés Iniesta-Xavi-Sergio Busquets-Adriano,Andrés Iniesta-Xavi-Sergio Busquets-Flávio Ferreira-Mohammed Fatau-André Gomes-Juan Domínguez-Raúl Jiménez-Duda-Anaitz Arbilla-Adriano
takalvfc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Douglas,Andrés Iniesta-Xavi-Sergio Busquets-Jorge Morcillo-Douglas-Ramón Azeez
takamdfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Jérémy Mathieu,Andrés Iniesta-Xavi-Sergio Busquets-Coro-Jérémy Mathieu-David Navarro-Iker Casillas-Diego Alves
